banrate,date
0.2232,2019-09-11
0.0754,2019-09-11
0.3703,2019-09-11
0.0121,2019-09-11
0.0183,2019-09-11
0.0121,2019-09-11
0.0145,2019-09-11
0.0121,2019-09-11
0.0033,2019-09-11
0.0059,2019-09-11
0.0061,2019-09-11
0.1368,2019-09-11
0.1054,2019-09-11
0.0104,2019-09-11
0.1546,2019-09-11
0.0098,2019-09-11
0.0071,2019-09-11
0.0111,2019-09-11
0.0034,2019-09-11
0.3570,2019-09-11
0.0308,2019-09-11
0.053,2019-09-11
0.2645,2019-09-11
0.0404,2019-09-11
0.0299,2019-09-11
0.1737,2019-09-11
0.0615,2019-09-11
0.0135,2019-09-11
0.0652,2019-09-11
0.1519,2019-09-11
0.0029,2019-09-11
0.0141,2019-09-11
0.0527,2019-09-11
0.0067,2019-09-11
0.0049,2019-09-11
0.0055,2019-09-11
0.0914,2019-09-11
0.0071,2019-09-11
0.1209,2019-09-11
0.0586,2019-09-11
0.0032,2019-09-11
0.0083,2019-09-11
0.0334,2019-09-11
0.2489,2019-09-11
0.0066,2019-09-11
0.0315,2019-09-11
0.0838,2019-09-11
0.1128,2019-09-11
0.0011,2019-09-11
0.0111,2019-09-11
0.0335,2019-09-11
0.0576,2019-09-11
0.0649,2019-09-11
0.0140,2019-09-11
0.1158,2019-09-11
0.0215,2019-09-11
0.1146,2019-09-11
0.0127,2019-09-11
0.0827,2019-09-11
0.0015,2019-09-11
0.0581,2019-09-11
0.0621,2019-09-11
0.0733,2019-09-11
0.0046,2019-09-11
0.0216,2019-09-11
0.0106,2019-09-11
0.0775,2019-09-11
0.0707,2019-09-11
0.0957,2019-09-11
0.0012,2019-09-11
0.2574,2019-09-11
0.0118,2019-09-11
0.1792,2019-09-11
0.4318,2019-09-11
0.0088,2019-09-11
0.0935,2019-09-11
0.1634,2019-09-11
0.0144,2019-09-11
0.0045,2019-09-11
0.0239,2019-09-11
0.1074,2019-09-11
0.0165,2019-09-11
0.0028,2019-09-11
0.0016,2019-09-11
0.1789,2019-09-11
0.0083,2019-09-11
0.4599,2019-09-11
0.1164,2019-09-11
0.0076,2019-09-11
0.0109,2019-09-11
0.0666,2019-09-11
0.01,2019-09-11
0.1164,2019-09-11
0.0883,2019-09-11
0.0607,2019-09-11
0.005,2019-09-11
0.0081,2019-09-11
0.0159,2019-09-11
0.0197,2019-09-11
0.0056,2019-09-11
0.0054,2019-09-11
0.0062,2019-09-11
0.002,2019-09-11
0.0336,2019-09-11
0.0023,2019-09-11
0.0067,2019-09-11
0.0206,2019-09-11
0.0125,2019-09-11
0.1528,2019-09-11
0.0131,2019-09-11
0.0125,2019-09-11
0.0012,2019-09-11
0.0597,2019-09-11
0.0043,2019-09-11
0.0809,2019-09-11
0.0974,2019-09-11
0.0208,2019-09-11
0.0017,2019-09-11
0.1064,2019-09-11
0.0017,2019-09-11
0.0175,2019-09-11
0.0395,2019-09-11
0.0253,2019-09-11
0.0029,2019-09-11
0.0795,2019-09-11
0.0338,2019-09-11
0.0154,2019-09-11
0.0302,2019-09-11
0.002,2019-09-11
0.1613,2019-09-11
0.0218,2019-09-11
0.0183,2019-09-11
0.0031,2019-09-11
0.0403,2019-09-11
0.0166,2019-09-11
0.0106,2019-09-11
0.4599,2019-09-11
0.017,2019-09-11
0.3034,2019-09-11
0.0077,2019-09-11
0.3317,2019-09-11
0.0019,2019-09-11
0.0124,2019-09-11
0.0379,2019-09-11
0.0531,2019-09-11
